latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-19.93913,45.46273,344.42,0.32,0.55,2023-04-09,1110,N20,VIIRS,n,2.0NRT,297.58,4,D
-20.0906,45.17731,338.97,0.61,0.53,2023-04-09,1110,N20,VIIRS,n,2.0NRT,298.86,9.52,D
-20.09141,45.18193,344.1,0.61,0.53,2023-04-09,1110,N20,VIIRS,n,2.0NRT,299.96,10.15,D
-20.14264,45.53281,340.55,0.32,0.55,2023-04-09,1110,N20,VIIRS,n,2.0NRT,296.99,3.35,D
-20.70576,44.80088,330.92,0.56,0.52,2023-04-09,1110,N20,VIIRS,n,2.0NRT,299.69,1.88,D
-20.72051,44.77618,335.56,0.56,0.51,2023-04-09,1110,N20,VIIRS,n,2.0NRT,298.47,2.4,D
-20.71725,44.77359,340.48,0.56,0.51,2023-04-09,1110,N20,VIIRS,n,2.0NRT,299.32,6.57,D
-20.58751,45.59209,333.88,0.63,0.54,2023-04-09,1110,N20,VIIRS,n,2.0NRT,297.01,6.26,D
-21.45172,44.45788,340.49,0.52,0.5,2023-04-09,1110,N20,VIIRS,n,2.0NRT,299.36,13.63,D
-21.45232,44.45544,345.44,0.52,0.5,2023-04-09,1110,N20,VIIRS,n,2.0NRT,299.45,13.15,D
-22.28816,44.45741,333.5,0.42,0.38,2023-04-10,1051,N20,VIIRS,n,2.0NRT,302.51,2.27,D
-20.36876,44.60067,332.9,0.45,0.39,2023-04-10,1051,N20,VIIRS,n,2.0NRT,301.69,2.37,D
-20.35524,44.59366,331.53,0.45,0.39,2023-04-10,1051,N20,VIIRS,n,2.0NRT,303.31,2.85,D
-20.33203,44.53616,333.56,0.45,0.39,2023-04-10,1051,N20,VIIRS,n,2.0NRT,302.85,2.94,D
-22.29976,44.66441,337.19,0.43,0.38,2023-04-10,1051,N20,VIIRS,n,2.0NRT,307.98,6.31,D
-20.16093,45.35175,331.09,0.49,0.4,2023-04-10,1051,N20,VIIRS,n,2.0NRT,304,3.43,D
-19.94617,45.47307,333.52,0.5,0.41,2023-04-10,1051,N20,VIIRS,n,2.0NRT,302.04,3.96,D
-20.0204,44.7711,339.1,0.46,0.39,2023-04-10,1051,N20,VIIRS,n,2.0NRT,302.66,6.74,D
-19.92717,45.18019,338.55,0.48,0.4,2023-04-10,1051,N20,VIIRS,n,2.0NRT,301.99,4.06,D
-22.15322,44.97018,345.49,0.45,0.39,2023-04-10,1051,N20,VIIRS,n,2.0NRT,303.11,5.25,D
-21.69739,45.23875,334.34,0.46,0.39,2023-04-10,1051,N20,VIIRS,n,2.0NRT,304.63,10.22,D
-21.14595,44.55407,331.59,0.44,0.38,2023-04-10,1051,N20,VIIRS,l,2.0NRT,304.01,2.53,D
-20.97172,45.02572,334.14,0.46,0.39,2023-04-10,1051,N20,VIIRS,n,2.0NRT,303.57,1.21,D
-21.03531,44.60825,332.92,0.44,0.39,2023-04-10,1051,N20,VIIRS,n,2.0NRT,302.07,3.26,D
-20.97215,44.63585,334.88,0.44,0.39,2023-04-10,1051,N20,VIIRS,n,2.0NRT,302.92,5.22,D
-20.58761,44.96876,336.58,0.46,0.39,2023-04-10,1051,N20,VIIRS,n,2.0NRT,304.37,4.83,D
-22.25795,44.6135,330.18,0.43,0.38,2023-04-10,1051,N20,VIIRS,l,2.0NRT,304.32,3.89,D
-22.25692,44.61423,336.92,0.43,0.38,2023-04-10,1051,N20,VIIRS,n,2.0NRT,304.38,2.14,D
-22.22124,44.76246,340.2,0.44,0.38,2023-04-10,1051,N20,VIIRS,n,2.0NRT,308.84,5.82,D
-22.26708,44.44572,344.9,0.42,0.38,2023-04-10,1051,N20,VIIRS,n,2.0NRT,304.14,6.48,D
-22.20869,44.68663,339.9,0.43,0.38,2023-04-10,1051,N20,VIIRS,n,2.0NRT,304.03,5.28,D
-20.38467,44.52852,335.1,0.45,0.39,2023-04-10,1051,N20,VIIRS,n,2.0NRT,301.88,13.38,D
-22.20518,44.68595,339.63,0.43,0.38,2023-04-10,1051,N20,VIIRS,n,2.0NRT,304.64,5.28,D
-22.26286,45.03075,333.94,0.45,0.39,2023-04-10,1051,N20,VIIRS,n,2.0NRT,300.7,3.09,D
-22.25512,45.51146,333.18,0.47,0.4,2023-04-10,1051,N20,VIIRS,n,2.0NRT,304.51,4.69,D
-22.28801,44.68246,337.37,0.41,0.37,2023-04-11,1032,N20,VIIRS,n,2.0NRT,302.5,2.72,D
-21.74231,44.62071,331.85,0.41,0.37,2023-04-11,1032,N20,VIIRS,n,2.0NRT,303.99,2.3,D
-21.69313,45.01411,340.46,0.4,0.37,2023-04-11,1032,N20,VIIRS,n,2.0NRT,303.26,2.59,D
-21.83342,45.69535,340.95,0.39,0.36,2023-04-11,1032,N20,VIIRS,n,2.0NRT,306.08,4.32,D
-22.01211,44.63556,331.66,0.41,0.37,2023-04-11,1032,N20,VIIRS,l,2.0NRT,305.53,1.81,D
-21.96862,45.35567,333.04,0.4,0.37,2023-04-11,1032,N20,VIIRS,l,2.0NRT,305.26,1.42,D
-21.87137,46.19662,333.44,0.39,0.36,2023-04-11,1032,N20,VIIRS,n,2.0NRT,304.22,1.91,D
-22.09991,44.68165,333.78,0.41,0.37,2023-04-11,1032,N20,VIIRS,l,2.0NRT,305.29,3.7,D
-21.88355,46.18345,337.48,0.39,0.36,2023-04-11,1032,N20,VIIRS,n,2.0NRT,305.21,2.75,D
-22.22093,44.6641,344.88,0.41,0.37,2023-04-11,1032,N20,VIIRS,n,2.0NRT,310.08,5.91,D
-22.24918,44.78755,335.1,0.41,0.37,2023-04-11,1032,N20,VIIRS,n,2.0NRT,305.44,3.01,D
-22.29582,44.63107,345.52,0.41,0.37,2023-04-11,1032,N20,VIIRS,n,2.0NRT,312.36,7.64,D
-22.29525,44.63509,334.61,0.41,0.37,2023-04-11,1032,N20,VIIRS,l,2.0NRT,308.62,3.98,D
-22.28843,44.68336,333.51,0.41,0.37,2023-04-11,1032,N20,VIIRS,n,2.0NRT,302.44,2.97,D
-22.29865,44.63065,334.15,0.41,0.37,2023-04-11,1032,N20,VIIRS,l,2.0NRT,307.34,3.62,D
-22.2981,44.63469,340.74,0.41,0.37,2023-04-11,1032,N20,VIIRS,n,2.0NRT,308.13,6.51,D
-22.39881,45.62727,341.52,0.39,0.36,2023-04-11,1032,N20,VIIRS,n,2.0NRT,300.8,4.31,D
-19.91493,45.63441,333.15,0.39,0.36,2023-04-11,1034,N20,VIIRS,l,2.0NRT,304.21,1.95,D
-20.03521,44.81341,340.78,0.4,0.37,2023-04-11,1034,N20,VIIRS,n,2.0NRT,300.79,4.99,D
